,win_rate,pick_rate,ban_rate,win_rate_z,pick_rate_z,ban_rate_z,interaction,tier_score_z
Karina,49.89,0.96,3.53,-0.08290866663620763,0.25520601782445196,-0.0942802754008894,-0.02115879065536155,0.00414602129532731
Layla,48.2,1.49,0.79,-0.759903078004663,1.2196490986268538,-0.29977033513231865,-0.926815104132159,-0.010632101589500315
Dyrroth,47.97,1.53,0.33,-0.8520384120962297,1.2924372556685444,-0.33426866632810603,-1.1012061870538354,-0.018012795879050525
Harith,50.85,0.33,0.31,0.30165620609380334,-0.8912074555821763,-0.33576859377140117,-0.2688382598934311,-0.03840577732628603
Kadita,49.93,0.88,0.6,-0.06688513027245753,0.10962970374107067,-0.31401964584362213,-0.007332597016452436,-0.05836007970145968
Helcurt,50.67,0.38,0.43,0.22955029245692649,-0.800222259280063,-0.3267690291116305,-0.1836912536482809,-0.07460249298294824
Claude,48.36,1.33,0.13,-0.6958089325496626,0.9284964704600911,-0.3492679407610571,-0.6460561379869653,-0.10854020543154028
Granger,49.77,0.81,0.1,-0.13097927572745793,-0.017749571081887953,-0.3515178319259998,0.002324825964778716,-0.13621759818880247
Saber,49.07,0.89,5.59,-0.41139116209309184,0.12782674300149335,0.06021225125850633,-0.052586792349959346,-0.19532881534671398
Eudora,49.53,0.8,0.46,-0.2271204939099614,-0.03594661034231064,-0.32451913794668785,0.00816421189533452,-0.19556966200262454
Alucard,50.15,0.46,0.12,0.021244319728169456,-0.6546459451966816,-0.35001790448270464,-0.013907507768508005,-0.20063607858097282
Natalia,50.38,0.27,0.44,0.1133796538197361,-1.0003896911447123,-0.32601906538998293,-0.1134238368668202,-0.20828772292946984
Clint,49.5,0.78,0.06,-0.23913814618277468,-0.07234068886315602,-0.35451768681259,0.017299418228320023,-0.21820559659300628
Natan,50.14,0.41,0.12,0.01723843563723264,-0.7456311414987951,-0.35001790448270464,-0.012853514441843282,-0.2259967067763962
Vale,49.32,0.81,0.29,-0.3112440598196516,-0.017749571081887953,-0.33726852121469625,0.0055244485635842925,-0.2428789965571842
Atlas,49.34,0.74,3.17,-0.3032322916377751,-0.1451288459048468,-0.12127896938020126,0.044007752526472224,-0.24521498237120137
Gusion,47.63,1.29,0.59,-0.9882384711881069,0.8557083134184004,-0.31476960956526967,-0.8456438754355534,-0.2571026707059437
Zilong,48.04,1.07,0.36,-0.8239972234596662,0.45537344968910154,-0.33201877516316336,-0.37522645818106964,-0.3553124962917849
Kagura,49.39,0.56,0.07,-0.2832028711830882,-0.4726755525924548,-0.35376772309094234,0.133863073632236,-0.36792838404805517
Uranus,49.59,0.4,0.2,-0.2030851893643348,-0.7638281807592177,-0.3440181947095242,0.15512219073130107,-0.3954353261610941
Hilda,49.25,0.5,0.27,-0.33928524845621494,-0.5818577881549909,-0.33876844865799133,0.19741576422034976,-0.4393340162552453
Nana,46.13,1.33,2.42,-1.5891210848287485,0.9284964704600911,-0.17752624850376766,-1.4754933183972039,-0.45287880687835064
Sun,49.0,0.59,0.29,-0.43943235072965525,-0.4180844348111869,-0.33726852121469625,0.18371982599255918,-0.4555147625213062
Vexana,47.66,1.03,0.48,-0.9762208189152964,0.3825852926474108,-0.3230192105033928,-0.3734877276932037,-0.46384150422419324
Johnson,48.08,0.87,1.88,-0.8079736870959161,0.09143266448064798,-0.21802428947273547,-0.07387518704143295,-0.47985465215001133
Badang,49.23,0.4,0.05,-0.3472970166380914,-0.7638281807592177,-0.35526765053423753,0.26527524840177713,-0.5056804524331503
